course_name,category,level,description,curriculum,intakes,duration,career_prospect,estimated_course_fees,entry_requirements
Bachelor of Science (Hons) in International Hospitality Management,"Hospitality, Culinary, Events Management",Undergraduate (Degree),"This program offers a comprehensive education in hospitality management, focusing on global standards and practices. Students will be equipped with the necessary knowledge and skills in hotel management, food and beverage operations, and customer service, with the opportunity for hands-on learning through internships. Graduates will be prepared for leadership roles in the international hospitality industry.","The program includes nine semesters with a combination of theoretical learning and practical training. It covers areas such as hospitality management, event planning, food service operations, and international hospitality trends.","February, April, September",3 years,"Graduates can pursue careers in hotel management, event management, food and beverage management, and customer relations in the global hospitality sector.","RM36,550 for Malaysian students and USD8,622 for international students.","STPM: Average C or GP 2.00 (minimum 2 Principals); A-Level: Minimum 10 points (Minimum Grade D in at least 2 subjects); Australian Matriculation: ATAR 55; Canadian Matriculation: 55%; Monash University Foundation Year: 55%; Sunway Foundation in Arts: CGPA 2.0; Sunway Foundation in Science Technology: CGPA 2.0; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits."
Bachelor of Science (Honours) in Computer Science,"Computer Science, Information Technology",Undergraduate (Degree),"This course provides a comprehensive understanding of computer science fundamentals, including programming, algorithms, and systems. Students will gain hands-on experience through projects and internships, preparing them for various roles in the tech industry.","The curriculum includes subjects such as Introduction to Programming, Data Structures, Algorithms, Database Systems, and Software Engineering. Students will also engage in capstone projects and internships.","January, September",3 years,"Software Developer, Systems Analyst, Data Scientist, AI Specialist","RM40,000 for Malaysian students and USD9,500 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics."
Master of Marketing,"Business, Marketing",Postgraduate (Master's),"This program focuses on advanced marketing strategies, consumer behavior, and digital marketing techniques. It prepares students for leadership roles in marketing and business strategy.","The curriculum includes courses in Marketing Management, Consumer Behavior, Digital Marketing, and Strategic Brand Management. Students will also complete a research project or thesis.","March, August",2 years,"Marketing Manager, Brand Manager, Digital Marketing Specialist, Business Consultant","RM45,000 for Malaysian students and USD10,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.50 and not meeting CGPA of 2.75, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.50, subject to a minimum of five (5) years working experience in a relevant field."
Diploma in Interior Design,"Design, Architecture",Diploma,"This diploma offers foundational knowledge in interior design, including space planning, materials, and 3D modeling. Students will develop practical skills through studio work and projects.","The program covers Design Fundamentals, Color Theory, Space Planning, Materials and Textures, and 3D Modeling. Students will complete a portfolio project in their final year.","January, April",2 years,"Interior Designer, Space Planner, Design Consultant, Visual Merchandiser","RM25,000 for Malaysian students and USD6,000 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits; UEC: Pass with minimum 3 Grade Cs."
Master of Science in Computer Science,"Computer Science, Information Technology",Postgraduate (Master's),"Advanced studies in computer science with a focus on machine learning, cloud computing, and algorithms. This program prepares students for research and specialized roles in the tech industry.","The curriculum includes Advanced Algorithms, Machine Learning, Cloud Computing, and Natural Language Processing. Students will complete a research thesis.","February, July",1 year,"AI Specialist, Cloud Architect, Research Scientist, Data Engineer","RM50,000 for Malaysian students and USD12,000 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Bachelor of Nursing (Honours),"Health Sciences, Nursing",Undergraduate (Degree),"This program prepares students for a career in nursing with a focus on patient care, medical knowledge, and clinical skills. Students will gain practical experience through clinical placements.","The curriculum includes Anatomy and Physiology, Nursing Fundamentals, Pharmacology, and Community Health Nursing. Students will complete clinical placements in various healthcare settings.","January, September",4 years,"Registered Nurse, Nurse Educator, Clinical Nurse Specialist, Healthcare Administrator","RM38,000 for Malaysian students and USD9,000 for international students.","STPM: Average C+ or GP 2.50 (minimum 2 Principals); A-Level: Minimum 12 points (Minimum Grade C in at least 2 subjects); Australian Matriculation: ATAR 65; Canadian Matriculation: 65%; Monash University Foundation Year: 65%; Sunway Foundation in Arts: CGPA 2.5; Sunway Foundation in Science Technology: CGPA 2.5; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits including Biology."
Bachelor of Business Administration (Honours),"Business, Management",Undergraduate (Degree),"A comprehensive business program covering management, finance, and marketing. Students will develop leadership and strategic thinking skills through case studies and internships.","The curriculum includes Principles of Management, Financial Accounting, Marketing Management, and Strategic Management. Students will complete an internship in their final year.","January, September",3 years,"Business Analyst, Marketing Manager, Financial Advisor, Entrepreneur","RM37,000 for Malaysian students and USD8,800 for international students.","STPM: Average C or GP 2.00 (minimum 2 Principals); A-Level: Minimum 10 points (Minimum Grade D in at least 2 subjects); Australian Matriculation: ATAR 60; Canadian Matriculation: 60%; Monash University Foundation Year: 60%; Sunway Foundation in Arts: CGPA 2.0; Sunway Foundation in Science Technology: CGPA 2.0; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits."
Diploma in Information Technology,"Information Technology, Computer Science",Diploma,"This diploma provides foundational IT skills, including programming, networking, and system administration. Students will gain practical experience through lab work and projects.","The program covers Introduction to IT, Programming Basics, Database Management, and Networking Fundamentals. Students will complete a capstone project in their final year.","January, April",2 years,"IT Support Specialist, Network Administrator, Web Developer, System Analyst","RM28,000 for Malaysian students and USD6,500 for international students.","SPM/SPMV/O-Level: Pass with minimum 3 credits including Mathematics; UEC: Pass with minimum 3 Grade Cs."
Master of Science in Artificial Intelligence,"Computer Science, Artificial Intelligence",Postgraduate (Master's),"Focuses on advanced AI techniques, including machine learning, natural language processing, and robotics. This program prepares students for specialized roles in AI research and development.","The curriculum includes Advanced Machine Learning, Natural Language Processing, Robotics, and AI Ethics. Students will complete a research thesis.","February, July",1 year,"AI Engineer, Data Scientist, Robotics Specialist, AI Researcher","RM52,000 for Malaysian students and USD12,500 for international students.","A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 3.00; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, with a minimum CGPA of 2.75 and not meeting CGPA of 3.00, subject to rigorous internal assessment; OR A Bachelor's Degree (Level 6 MQF) or its equivalent, not meeting CGPA of 2.75, subject to a minimum of five (5) years working experience in a relevant field."
Bachelor of Arts in Psychology,"Social Sciences, Psychology",Undergraduate (Degree),"This program explores human behavior, mental processes, and psychological research methods. Students will gain practical experience through internships and research projects.","The curriculum includes Introduction to Psychology, Cognitive Psychology, Abnormal Psychology, and Research Methods. Students will complete an internship and a research project.","January, September",3 years,"Psychologist, Counselor, Human Resources Specialist, Social Worker","RM35,000 for Malaysian students and USD8,200 for international students.","STPM: Average C or GP 2.00 (minimum 2 Principals); A-Level: Minimum 10 points (Minimum Grade D in at least 2 subjects); Australian Matriculation: ATAR 60; Canadian Matriculation: 60%; Monash University Foundation Year: 60%; Sunway Foundation in Arts: CGPA 2.0; Sunway Foundation in Science Technology: CGPA 2.0; UEC: Pass with minimum 3 Grade Bs; SPM/SPMV/O-Level: Pass with minimum 3 credits."
